timestamp,value
1436531040,564
1436531880,730
1436532480,770
1436533380,910
1436534520,1035
1436535120,1065
1436535720,953
1436536320,1005
1436536920,996
1436537520,901
1436538120,939
1436538720,988
1436539320,1020
1436539920,876
1436540520,870
1436541120,809
1436541720,884
1436542320,926
1436542920,829
1436544120,712
1436544720,624
1436545320,632
1436545920,596
1436546520,510
1436547120,526
1436549520,99
1436550120,85
1436551320,85
1436551920,87
1436552520,93
1436553720,57
1436556720,101
1436602200,177
1436603400,221
1436605200,332
1436605800,338
1436606400,263
1436607000,304
1436607600,358
1436608200,385
1436608800,397
1436609400,426
1436610000,461
1436610480,418
1436611080,448
1436611380,432
1436611980,416
1436612220,425
1436612820,439
1436612940,423
1436613540,370
1436614140,404
1436614740,387
1436618460,185
1436619660,184
1436626380,104
1436626920,108
1436627580,121
1436628180,120
1436628780,127
1436631780,52
1436691360,93
1436697360,151
1436697960,161
1436698560,160
1436700960,177
1436707560,193
1436721180,119
1436771700,143
1436773500,151
1436782020,138
1436783820,143
1436784420,146
1436791020,173
1436794020,226
1436795820,206
1436796420,243
1436797620,238
1436798820,294
1436800020,226
1436800620,209
1436803020,222
1436803560,136
1436805960,129
1436806560,133
1436857800,182
1436859600,253
1436860200,218
1436861400,216
1436862000,203
1436872260,143
1436875260,103
1436877660,162
1436878260,180
1436878860,223
1436879460,282
1436880060,262
1436881860,289
1436882460,260
1436882940,271
1436883540,248
1436883900,234
1436886300,309
1436886420,319
1436887620,266
1436889420,207
1436890620,198
1436892420,223
1436893020,250
1436894220,193
1436945820,144
1436953020,121
1436957640,104
1436964840,161
1436967240,178
1436969640,161
1436972040,204
1436972640,195
1436973840,189
1436975040,214
1436976240,204
1436978040,220
1436978640,219
1437039840,154
1437049140,118
1437049740,124
1437051540,174
1437052140,232
1437052740,316
1437053340,340
1437053940,398
1437054540,401
1437054600,392
1437055740,349
1437056940,388
1437057540,345
1437058140,363
1437058740,516
1437059340,460
1437059940,411
1437060540,413
1437061140,331
1437061740,367
1437062340,330
1437062940,288
1437063540,293
1437065940,225
1437067140,226
1437067740,200
1437068940,203
1437070140,197
1437149460,1185
1437150060,1081
1437150660,1174
1437151500,1336
1437152100,1174
1437152700,839
1437153300,657
1437153900,507
1437154500,274
1437155100,241
1437155700,187
1437156300,165
1437157500,86
1437159300,93
1437184560,57
1437188160,93
1437206760,131
1437207360,123
1437211560,109
1437212760,118
1437213360,128
1437215760,246
1437216360,231
1437219960,309
1437222960,217
1437229560,87
1437231360,85
1437232560,79
1437238560,73
1437239760,92
1437295980,97
1437297900,96
1437302100,172
1437302700,179
1437303900,178
1437305100,183
1437306300,150
1437310500,174
1437313500,166
1437316500,161
1437317100,151
1437317700,169
1437365100,94
1437365700,99
1437371700,134
1437378900,152
1437380100,153
1437382500,132
1437384900,134
1437385860,141
1437432600,23
1437433200,21
1437433800,95
1437434400,90
1437436200,89
1437440400,90
1437441000,103
1437442200,67
1437445800,24
1437446400,53
1437462000,197
1437462600,202
1437470400,120
1437477600,139
1437478200,215
1437478800,196
1437480600,229
1437481200,173
1437482400,178
1437483000,198
1437483600,192
1437485400,316
1437486600,263
1437487200,250
1437488400,237
1437489000,302
1437489600,292
1437490800,318
1437491400,294
1437492000,245
1437493200,246
1437494400,252
1437495000,211
1437496200,218
1437498000,150
1437516240,87
1437516840,96
1437522240,56
1437524640,116
1437529440,95
1437530040,87
1437531240,86
1437531840,32
1437532440,28
1437533040,29
1437533640,12
1437534240,12
1437534840,12
1437548640,147
1437549240,140
1437568980,161
1437569580,183
1437570180,224
1437572580,325
1437574980,288
1437575580,263
1437576780,320
1437577380,365
1437577980,331
1437578580,316
1437580380,369
1437580980,303
1437581580,267
1437582180,232
1437582780,241
1437584580,237
1437585180,196
1437585780,137
1437616500,2858
1437617700,2781
1437618240,2891
1437645300,123
1437645900,236
1437647100,314
1437654900,256
1437655500,267
1437656100,275
1437657300,370
1437658500,362
1437659100,340
1437659700,320
1437660300,221
1437660900,265
1437661500,248
1437663300,316
1437663900,342
1437664500,321
1437665100,319
1437666300,335
1437666900,317
1437668100,328
1437668700,306
1437669300,305
1437669900,269
1437670500,273
1437671100,261
1437671700,238
1437672300,208
1437687300,105
1437722940,141
1437725280,144
1437727740,170
1437729540,167
1437730740,179
1437731340,178
1437731940,177
1437732540,203
1437733140,236
1437733740,258
1437734340,251
1437734640,265
1437749940,319
1437750540,287
1437751740,293
1437753540,211
1437755340,142
1437755940,176
1437756540,184
1437757140,201
1437757740,193
1437758340,157
1437759540,75
1437760140,116
1437760740,127
1437761340,98
1437761940,106
1437762540,126
1437763140,63
1437764340,91
1437766140,115
1437766740,112
1437780540,670
1437795540,2941
1437796740,2848
1437796980,2924
1437809640,213
1437810840,241
1437811440,260
1437812040,242
1437814440,250
1437815040,316
1437815640,325
1437816240,275
1437816840,283
1437817440,301
1437818040,373
1437818640,428
1437819240,407
1437819840,414
1437820440,438
1437821040,526
1437821640,478
1437822840,384
1437823440,374
1437824040,462
1437825240,398
1437827640,366
1437828240,311
1437829440,227
1437833640,148
1437834240,137
1437834840,144
1437836040,149
1437836640,126
1437837240,78
1437838440,95
1437841440,55
1437842040,57
1437843240,69
1437843840,88
1437900900,105
1437902700,107
1437906300,228
1437906900,249
1437907500,222
1437908100,133
1437917100,131
1437930900,126
1437931500,146
1437975960,117
1437980760,182
1437981960,146
1437982560,161
1437983160,193
1437984960,217
1437985560,187
1437987360,153
1437989160,161
1437989760,155
1437990960,213
1437991560,142
1437992160,196
1437992760,189
1437994560,187
1437996960,190
1437997560,184
1438007760,224
1438009560,322
1438010160,296
1438010760,274
1438011360,278
1438013160,172
1438014360,202
1438014960,214
1438015560,182
1438016160,179
1438083960,102
1438084560,95
1438085160,141
1438086360,136
1438086960,175
1438087560,187
1438088160,175
1438089960,211
1438091160,239
1438091760,251
1438093320,245
1438093380,241
1438093980,209
1438094580,223
1438095180,290
1438095780,272
1438097580,268
1438098780,228
1438100580,211
1438157580,157
1438243140,290
1438252140,2003
1438253940,188
1438256940,700
1438257540,556
1438258140,931
1438258740,117
1438259340,450
1438259940,221
1438261140,195
1438261740,243
1438262340,233
1438263540,274
1438265340,410
1438265940,414
1438266540,417
1438267140,820
1438267740,1010
1438268340,903
1438268940,965
1438269540,837
1438269660,897
1438272600,207
1438273800,199
1438274220,241
1438283340,292
1438287720,484
1438305060,91
1438316940,88
1438317420,91
1438351140,402
1438351740,534
1438352340,561
1438352940,584
1438353540,642
1438354140,593
1438354740,592
1438355340,625
1438355940,719
1438356540,810
1438357140,790
1438357260,789
1438358460,863
1438359060,722
1438359660,714
1438360260,860
1438361460,949
1438362060,1099
1438362660,718
1438363260,574
1438363860,570
1438364460,282
1438365060,288
1438365660,234
1438366260,149
1438367460,134
1438368060,87
1438368660,110
1438369260,108
1438370460,146
1438371060,174
1438371660,180
1438373460,182
1438440600,90
1438441200,89
1438444800,61
1438446000,49
1438447200,59
1438447800,68
1438448400,70
1438505760,94
1438507560,116
1438508160,171
1438509960,169
1438534620,99
1438585020,143
1438585620,149
1438586820,152
1438587420,165
1438588020,165
1438588620,160
1438590420,157
1438591020,183
1438598820,191
1438600020,179
1438601820,185
1438606080,248
1438607280,188
1438608480,215
1438609080,207
1438610280,284
1438611480,355
1438612680,337
1438613880,234
1438614480,169
1438615680,210
1438616280,260
1438617480,237
1438618080,193
1438619280,162
1438669680,132
1438681440,111
1438688640,159
1438689240,119
1438690440,215
1438691640,148
1438692240,185
1438692840,236
1438693440,267
1438694040,266
1438694640,354
1438695240,355
1438695840,374
1438696440,402
1438697040,460
1438697640,493
1438698240,548
1438698840,535
1438700040,681
1438700640,760
1438701240,763
1438701840,741
1438702440,776
1438703040,824
1438703640,919
1438704240,882
1438704840,809
1438705440,801
1438705860,662
1438706460,536
1438707060,366
1438707660,230
1438708260,157
1438723260,124
1438724460,151
1438758060,160
1438758660,139
1438770420,239
1438771620,152
1438772220,188
1438774020,297
1438777020,295
1438777620,319
1438778820,423
1438779420,364
1438779960,343
1438781220,344
1438781820,374
1438782420,308
1438782960,347
1438783620,282
1438785960,239
1438786560,264
1438787160,255
1438787760,240
1438788960,279
1438789560,288
1438790220,361
1438791960,258
1438792560,201
1438793160,198
1438793760,165
1438794360,145
1438819080,125
1438866480,200
1438867080,214
1438868280,297
1438869480,332
1438870080,379
1438870680,391
1438871280,277
1438873080,256
1438873680,318
1438874280,326
1438875480,342
1438876080,272
1438877880,173
1438878480,141
1438879680,153
1438880280,172
1438882080,171
1438897680,81
1438918800,99
1438931400,150
1438932000,173
1438933200,217
1438934400,330
1438935000,369
1438936800,521
1438937400,712
1438938000,648
1438938600,623
1438939200,615
1438939800,631
1438940400,612
1438941000,706
1438941600,685
1438942200,546
1438943400,628
1438944000,635
1438944600,736
1438945200,725
1438945800,773
1438946400,587
1438947000,701
1438947600,819
1438948200,832
1438948800,911
1438949400,943
1438950000,948
1438950600,796
1438951200,709
1438951800,613
1438952400,683
1438953000,689
1438953600,800
1438955400,826
1438956420,617
1438957020,636
1438957620,707
1438958220,762
1438958820,615
1438959420,540
1438960020,601
1438960620,742
1438961220,611
1438961820,577
1438962420,571
1438964220,342
1438965420,295
