timestamp,value
1424983373,104
1424983673,100
1424983973,99
1424984273,154
1424984573,120
1424984873,90
1424985173,92
1424985473,71
1424985773,339
1424986073,178
1424986373,144
1424986673,143
1424986973,179
1424987273,245
1424987573,166
1424987873,139
1424988173,112
1424988473,95
1424988773,70
1424989073,74
1424989373,88
1424989673,75
1424989973,77
1424990273,110
1424990573,83
1424990873,66
1424991173,59
1424991473,64
1424991773,72
1424992073,71
1424992373,53
1424992673,61
1424992973,73
1424993273,71
1424993573,66
1424993873,42
1424994173,59
1424994473,39
1424994773,49
1424995073,51
1424995373,44
1424995673,45
1424995973,36
1424996273,36
1424996573,34
1424996873,45
1424997173,45
1424997473,42
1424997773,61
1424998073,50
1424998373,43
1424998673,46
1424998973,41
1424999273,61
1424999573,171
1424999873,95
1425000173,60
1425000473,65
1425000773,55
1425001073,58
1425001373,51
1425001673,48
1425001973,42
1425002273,35
1425002573,37
1425002873,35
1425003173,33
1425003473,44
1425003773,93
1425004073,107
1425004373,67
1425004673,77
1425004973,42
1425005273,41
1425005573,41
1425005873,61
1425006173,44
1425006473,27
1425006773,37
1425007073,36
1425007373,49
1425007673,36
1425007973,41
1425008273,32
1425008573,50
1425008873,43
1425009173,50
1425009473,47
1425009773,50
1425010073,45
1425010373,56
1425010673,40
1425010973,32
1425011273,57
1425011573,73
1425011873,49
1425012173,59
1425012473,140
1425012773,56
1425013073,44
1425013373,38
1425013673,37
1425013973,28
1425014273,30
1425014573,32
1425014873,38
1425015173,47
1425015473,31
1425015773,30
1425016073,26
1425016373,20
1425016673,36
1425016973,28
1425017273,23
1425017573,15
1425017873,25
1425018173,20
1425018473,19
1425018773,19
1425019073,18
1425019373,21
1425019673,17
1425019973,11
1425020273,32
1425020573,13
1425020873,13
1425021173,31
1425021473,23
1425021773,19
1425022073,22
1425022373,18
1425022673,23
1425022973,42
1425023273,14
1425023573,14
1425023873,23
1425024173,15
1425024473,15
1425024773,11
1425025073,18
1425025373,11
1425025673,20
1425025973,26
1425026273,14
1425026573,17
1425026873,17
1425027173,18
1425027473,20
1425027773,22
1425028073,19
1425028373,31
1425028673,16
1425028973,17
1425029273,17
1425029573,27
1425029873,32
1425030173,27
1425030473,30
1425030773,21
1425031073,24
1425031373,29
1425031673,30
1425031973,14
1425032273,30
1425032573,10
1425032873,41
1425033173,18
1425033473,25
1425033773,44
1425034073,36
1425034373,16
1425034673,39
1425034973,19
1425035273,34
1425035573,42
1425035873,30
1425036173,24
1425036473,35
1425036773,34
1425037073,23
1425037373,50
1425037673,39
1425037973,32
1425038273,42
1425038573,38
1425038873,34
1425039173,42
1425039473,44
1425039773,53
1425040073,37
1425040373,29
1425040673,28
1425040973,41
1425041273,34
1425041573,37
1425041873,222
1425042173,46
1425042473,32
1425042773,37
1425043073,110
1425043373,65
1425043673,42
1425043973,54
1425044273,66
1425044573,46
1425044873,42
1425045173,38
1425045473,102
1425045773,92
1425046073,62
1425046373,62
1425046673,56
1425046973,86
1425047273,67
1425047573,62
1425047873,56
1425048173,61
1425048473,58
1425048773,52
1425049073,50
1425049373,51
1425049673,47
1425049973,41
1425050273,52
1425050573,37
1425050873,68
1425051173,68
1425051473,109
1425051773,80
1425052073,108
1425052373,65
1425052673,172
1425052973,172
1425053273,271
1425053573,456
1425053873,440
1425054173,477
1425054473,426
1425054773,284
1425055073,159
1425055373,112
1425055673,118
1425055973,70
1425056273,59
1425056573,51
1425056873,63
1425057173,45
1425057473,108
1425057773,68
1425058073,105
1425058373,52
1425058673,95
1425058973,111
1425059273,116
1425059573,155
1425059873,141
1425060173,115
1425060473,137
1425060773,112
1425061073,113
1425061373,136
1425061673,119
1425061973,97
1425062273,102
1425062573,101
1425062873,96
1425063173,87
1425063473,93
1425063773,103
1425064073,96
1425064373,99
