timestamp,value
1424983373,57
1424983673,43
1424983973,55
1424984273,64
1424984573,93
1424984873,104
1424985173,89
1424985473,87
1424985773,57
1424986073,68
1424986373,64
1424986673,61
1424986973,73
1424987273,79
1424987573,80
1424987873,76
1424988173,49
1424988473,59
1424988773,55
1424989073,48
1424989373,41
1424989673,49
1424989973,63
1424990273,36
1424990573,42
1424990873,50
1424991173,35
1424991473,41
1424991773,39
1424992073,48
1424992373,31
1424992673,35
1424992973,32
1424993273,36
1424993573,37
1424993873,62
1424994173,41
1424994473,51
1424994773,65
1424995073,39
1424995373,56
1424995673,42
1424995973,62
1424996273,46
1424996573,46
1424996873,62
1424997173,41
1424997473,40
1424997773,47
1424998073,48
1424998373,43
1424998673,41
1424998973,55
1424999273,90
1424999573,79
1424999873,57
1425000173,43
1425000473,39
1425000773,57
1425001073,56
1425001373,102
1425001673,85
1425001973,79
1425002273,82
1425002573,60
1425002873,47
1425003173,43
1425003473,49
1425003773,60
1425004073,55
1425004373,63
1425004673,57
1425004973,61
1425005273,59
1425005573,35
1425005873,69
1425006173,48
1425006473,47
1425006773,44
1425007073,47
1425007373,51
1425007673,54
1425007973,41
1425008273,53
1425008573,49
1425008873,23
1425009173,31
1425009473,38
1425009773,57
1425010073,56
1425010373,70
1425010673,57
1425010973,64
1425011273,79
1425011573,65
1425011873,70
1425012173,51
1425012473,43
1425012773,60
1425013073,49
1425013373,37
1425013673,54
1425013973,58
1425014273,67
1425014573,72
1425014873,49
1425015173,45
1425015473,48
1425015773,29
1425016073,23
1425016373,26
1425016673,28
1425016973,27
1425017273,18
1425017573,37
1425017873,35
1425018173,25
1425018473,28
1425018773,27
1425019073,35
1425019373,41
1425019673,34
1425019973,42
1425020273,58
1425020573,59
1425020873,27
1425021173,49
1425021473,52
1425021773,25
1425022073,36
1425022373,31
1425022673,23
1425022973,24
1425023273,10
1425023573,27
1425023873,32
1425024173,17
1425024473,33
1425024773,40
1425025073,25
1425025373,16
1425025673,24
1425025973,37
1425026273,34
1425026573,60
1425026873,57
1425027173,62
1425027473,56
1425027773,68
1425028073,54
1425028373,49
1425028673,42
1425028973,39
1425029273,50
1425029573,47
1425029873,30
1425030173,40
1425030473,45
1425030773,37
1425031073,58
1425031373,35
1425031673,46
1425031973,37
1425032273,35
1425032573,50
1425032873,27
1425033173,54
1425033473,51
1425033773,41
1425034073,50
1425034373,90
1425034673,55
1425034973,57
1425035273,57
1425035573,71
1425035873,35
1425036173,28
1425036473,32
1425036773,32
1425037073,60
1425037373,32
1425037673,47
1425037973,38
1425038273,46
1425038573,54
1425038873,56
1425039173,63
1425039473,67
1425039773,68
1425040073,61
1425040373,44
1425040673,57
1425040973,61
1425041273,55
1425041573,66
1425041873,87
1425042173,68
1425042473,73
1425042773,66
1425043073,73
1425043373,100
1425043673,105
1425043973,90
1425044273,66
1425044573,64
1425044873,58
1425045173,70
1425045473,74
1425045773,48
1425046073,59
1425046373,69
1425046673,67
1425046973,40
1425047273,47
1425047573,42
1425047873,153
1425048173,67
1425048473,73
1425048773,58
1425049073,97
1425049373,99
1425049673,65
1425049973,82
1425050273,66
1425050573,44
1425050873,65
1425051173,75
1425051473,50
1425051773,62
1425052073,57
1425052373,102
1425052673,80
1425052973,84
1425053273,104
1425053573,76
1425053873,71
1425054173,49
1425054473,103
1425054773,134
1425055073,106
1425055373,127
1425055673,93
1425055973,84
1425056273,56
1425056573,61
1425056873,57
1425057173,45
1425057473,54
1425057773,64
1425058073,74
1425058373,56
1425058673,73
1425058973,84
1425059273,57
1425059573,63
1425059873,70
1425060173,74
1425060473,57
1425060773,62
1425061073,69
1425061373,61
1425061673,66
1425061973,65
1425062273,55
1425062573,54
1425062873,55
1425063173,53
1425063473,67
1425063773,70
1425064073,76
1425064373,67
1425064673,110
1425064973,41
1425065273,64
1425065573,61
1425065873,39
1425066173,61
1425066473,73
1425066773,62
1425067073,67
1425067373,51
1425067673,81
1425067973,87
1425068273,52
1425068573,62
1425068873,108
1425069173,76
1425069473,57
1425069773,68
1425070073,59
1425070373,68
1425070673,54
1425070973,56
1425071273,56
1425071573,75
1425071873,69
1425072173,51
1425072473,58
1425072773,60
1425073073,81
1425073373,65
1425073673,70
1425073973,64
1425074273,53
1425074573,65
1425074873,65
1425075173,66
1425075473,48
1425075773,46
1425076073,50
1425076373,43
1425076673,45
1425076973,49
1425077273,49
1425077573,50
1425077873,57
1425078173,39
1425078473,35
1425078773,63
1425079073,62
1425079373,66
1425079673,52
1425079973,48
1425080273,66
1425080573,58
1425080873,41
1425081173,36
1425081473,40
1425081773,72
1425082073,72
1425082373,64
1425082673,73
1425082973,69
1425083273,78
1425083573,58
1425083873,77
1425084173,133
1425084473,88
1425084773,87
1425085073,88
1425085373,78
1425085673,80
1425085973,72
1425086273,89
1425086573,62
1425086873,91
1425087173,100
1425087473,60
1425087773,54
1425088073,83
1425088373,45
1425088673,58
1425088973,70
1425089273,60
1425089573,41
1425089873,60
1425090173,57
1425090473,61
1425090773,66
1425091073,59
1425091373,64
1425091673,80
1425091973,92
1425092273,95
1425092573,101
1425092873,99
1425093173,68
1425093473,64
1425093773,90
1425094073,74
1425094373,48
1425094673,48
1425094973,63
1425095273,47
1425095573,43
1425095873,51
1425096173,63
1425096473,71
1425096773,84
1425097073,34
1425097373,41
1425097673,51
1425097973,44
1425098273,58
1425098573,68
1425098873,57
1425099173,55
1425099473,65
1425099773,51
1425100073,49
1425100373,59
1425100673,44
1425100973,58
1425101273,45
1425101573,52
1425101873,50
1425102173,63
1425102473,45
1425102773,54
1425103073,68
1425103373,45
1425103673,40
1425103973,54
1425104273,33
1425104573,38
1425104873,33
1425105173,52
1425105473,36
1425105773,36
1425106073,35
1425106373,30
1425106673,25
1425106973,24
1425107273,27
1425107573,21
1425107873,45
1425108173,27
1425108473,31
1425108773,35
1425109073,58
1425109373,60
1425109673,37
1425109973,30
1425110273,36
1425110573,39
1425110873,26
1425111173,38
1425111473,31
1425111773,58
1425112073,56
1425112373,64
1425112673,44
1425112973,58
1425113273,63
1425113573,58
1425113873,47
1425114173,47
1425114473,47
1425114773,36
1425115073,31
1425115373,30
1425115673,21
1425115973,23
1425116273,43
1425116573,43
1425116873,53
1425117173,54
1425117473,45
1425117773,37
1425118073,35
1425118373,43
1425118673,43
1425118973,43
1425119273,40
1425119573,28
1425119873,25
1425120173,31
1425120473,23
1425120773,31
1425121073,31
1425121373,36
1425121673,46
1425121973,47
1425122273,32
1425122573,39
1425122873,42
1425123173,46
1425123473,40
1425123773,60
1425124073,70
1425124373,71
1425124673,69
1425124973,56
1425125273,70
1425125573,88
1425125873,50
1425126173,53
1425126473,43
1425126773,53
1425127073,43
1425127373,59
1425127673,50
1425127973,41
1425128273,40
1425128573,43
1425128873,76
1425129173,62
1425129473,61
1425129773,44
1425130073,49
1425130373,68
1425130673,49
1425130973,79
1425131273,71
1425131573,52
1425131873,47
1425132173,41
1425132473,62
1425132773,63
1425133073,85
1425133373,103
1425133673,70
1425133973,69
1425134273,85
1425134573,66
1425134873,75
1425135173,84
1425135473,92
1425135773,70
1425136073,62
1425136373,66
1425136673,53
1425136973,60
1425137273,66
1425137573,57
1425137873,51
1425138173,50
1425138473,55
1425138773,54
1425139073,76
1425139373,69
1425139673,61
1425139973,73
1425140273,72
1425140573,56
1425140873,68
1425141173,58
1425141473,96
1425141773,64
1425142073,67
1425142373,54
1425142673,76
1425142973,58
1425143273,50
1425143573,53
1425143873,59
1425144173,64
1425144473,59
1425144773,38
1425145073,41
1425145373,56
1425145673,60
1425145973,65
1425146273,67
1425146573,52
1425146873,68
1425147173,72
1425147473,48
1425147773,53
1425148073,47
1425148373,43
1425148673,70
1425148973,50
1425149273,62
1425149573,70
1425149873,62
1425150173,70
1425150473,47
1425150773,53
1425151073,42
1425151373,46
1425151673,39
1425151973,36
1425152273,29
1425152573,56
1425152873,52
1425153173,36
1425153473,38
1425153773,42
1425154073,43
1425154373,50
1425154673,41
1425154973,41
1425155273,45
1425155573,29
1425155873,38
1425156173,37
1425156473,37
1425156773,29
1425157073,37
1425157373,41
1425157673,53
1425157973,115
1425158273,52
1425158573,67
1425158873,56
1425159173,49
1425159473,54
1425159773,51
1425160073,43
1425160373,76
1425160673,91
1425160973,46
1425161273,42
1425161573,48
1425161873,49
1425162173,49
1425162473,39
1425162773,69
1425163073,73
1425163373,51
1425163673,29
1425163973,41
1425164273,54
1425164573,30
1425164873,31
1425165173,44
1425165473,43
1425165773,28
1425166073,42
1425166373,33
1425166673,60
1425166973,46
1425167273,41
1425167573,42
1425167873,39
1425168173,45
1425168473,41
1425168773,63
1425169073,44
1425169373,45
1425169673,33
1425169973,40
1425170273,45
1425170573,67
1425170873,45
1425171173,62
1425171473,71
1425171773,47
1425172073,81
1425172373,72
1425172673,78
1425172973,63
1425173273,68
1425173573,50
1425173873,35
1425174173,72
1425174473,44
1425174773,43
1425175073,41
1425175373,52
1425175673,47
1425175973,49
1425176273,29
1425176573,38
