timestamp,value
1424983373,11
1424983673,10
1424983973,3
1424984273,4
1424984573,9
1424984873,2
1424985173,4
1424985473,7
1424985773,5
1424986073,10
1424986373,4
1424986673,6
1424986973,6
1424987273,2
1424987573,2
1424987873,9
1424988173,10
1424988473,4
1424988773,5
1424989073,4
1424989373,4
1424989673,6
1424989973,5
1424990273,2
1424990573,1
1424990873,5
1424991173,5
1424991473,9
1424991773,3
1424992073,5
1424992373,1
1424992673,3
1424992973,2
1424993273,1
1424993573,0
1424993873,3
1424994173,2
1424994473,3
1424994773,1
1424995073,5
1424995373,2
1424995673,7
1424995973,4
1424996273,7
1424996573,1
1424996873,5
1424997173,1
1424997473,0
1424997773,3
1424998073,2
1424998373,2
1424998673,5
1424998973,0
1424999273,2
1424999573,2
1424999873,2
1425000173,5
1425000473,4
1425000773,0
1425001073,2
1425001373,2
1425001673,4
1425001973,2
1425002273,0
1425002573,2
1425002873,2
1425003173,3
1425003473,1
1425003773,3
1425004073,2
1425004373,3
1425004673,1
1425004973,2
1425005273,4
1425005573,1
1425005873,1
1425006173,2
1425006473,0
1425006773,1
1425007073,0
1425007373,2
1425007673,2
1425007973,1
1425008273,2
1425008573,1
1425008873,2
1425009173,2
1425009473,3
1425009773,3
1425010073,2
1425010373,2
1425010673,1
1425010973,0
1425011273,1
1425011573,2
1425011873,2
1425012173,1
1425012473,3
1425012773,8
1425013073,7
1425013373,6
1425013673,3
1425013973,7
1425014273,3
1425014573,4
1425014873,2
1425015173,2
1425015473,5
1425015773,1
1425016073,0
1425016373,0
1425016673,2
1425016973,4
1425017273,2
1425017573,0
1425017873,2
1425018173,0
1425018473,0
1425018773,5
1425019073,0
1425019373,1
1425019673,2
1425019973,5
1425020273,8
1425020573,0
1425020873,1
1425021173,0
1425021473,0
1425021773,2
1425022073,3
1425022373,2
1425022673,2
1425022973,3
1425023273,2
1425023573,0
1425023873,8
1425024173,2
1425024473,4
1425024773,3
1425025073,6
1425025373,1
1425025673,5
1425025973,4
1425026273,1
1425026573,0
1425026873,3
1425027173,3
1425027473,1
1425027773,1
1425028073,2
1425028373,2
1425028673,3
1425028973,1
1425029273,3
1425029573,3
1425029873,2
1425030173,2
1425030473,6
1425030773,1
1425031073,5
1425031373,7
1425031673,4
1425031973,3
1425032273,0
1425032573,1
1425032873,3
1425033173,2
1425033473,3
1425033773,8
1425034073,6
1425034373,3
1425034673,2
1425034973,3
1425035273,3
1425035573,3
1425035873,7
1425036173,3
1425036473,2
1425036773,3
1425037073,3
1425037373,1
1425037673,3
1425037973,6
1425038273,8
1425038573,5
1425038873,10
1425039173,1
1425039473,3
1425039773,3
1425040073,4
1425040373,4
1425040673,1
1425040973,3
1425041273,7
1425041573,3
1425041873,2
1425042173,7
1425042473,3
1425042773,3
1425043073,4
1425043373,2
1425043673,3
1425043973,4
1425044273,6
1425044573,5
1425044873,3
1425045173,6
1425045473,6
1425045773,4
1425046073,3
1425046373,7
1425046673,11
1425046973,16
1425047273,10
1425047573,4
1425047873,1
1425048173,4
1425048473,4
1425048773,3
1425049073,9
1425049373,4
1425049673,2
1425049973,5
1425050273,1
1425050573,6
1425050873,7
1425051173,9
1425051473,9
1425051773,2
1425052073,6
1425052373,4
1425052673,3
1425052973,16
1425053273,8
1425053573,3
1425053873,2
1425054173,7
1425054473,6
1425054773,7
1425055073,8
1425055373,7
1425055673,9
1425055973,5
1425056273,10
1425056573,5
1425056873,5
1425057173,10
1425057473,6
1425057773,7
1425058073,6
1425058373,3
1425058673,3
1425058973,2
1425059273,1
1425059573,11
1425059873,22
1425060173,12
1425060473,5
1425060773,6
1425061073,6
1425061373,4
1425061673,9
1425061973,2
1425062273,2
1425062573,4
1425062873,8
1425063173,3
1425063473,7
1425063773,10
1425064073,6
1425064373,7
1425064673,3
1425064973,1
1425065273,4
1425065573,1
1425065873,4
1425066173,5
1425066473,3
1425066773,2
1425067073,8
1425067373,6
1425067673,13
1425067973,5
1425068273,3
1425068573,2
1425068873,5
1425069173,2
1425069473,1
1425069773,2
1425070073,7
1425070373,2
1425070673,4
1425070973,5
1425071273,1
1425071573,2
1425071873,0
1425072173,1
1425072473,1
1425072773,2
1425073073,1
1425073373,2
1425073673,1
1425073973,4
1425074273,3
1425074573,2
1425074873,8
1425075173,1
1425075473,3
1425075773,6
1425076073,2
1425076373,4
1425076673,2
1425076973,3
1425077273,1
1425077573,7
1425077873,5
1425078173,8
1425078473,5
1425078773,4
1425079073,3
1425079373,3
1425079673,5
1425079973,1
1425080273,8
1425080573,5
1425080873,6
1425081173,3
1425081473,2
1425081773,5
1425082073,9
1425082373,7
1425082673,8
1425082973,6
1425083273,7
1425083573,6
1425083873,5
1425084173,1
1425084473,3
1425084773,1
1425085073,1
1425085373,2
1425085673,0
1425085973,2
1425086273,2
1425086573,3
1425086873,4
1425087173,3
1425087473,2
1425087773,3
1425088073,4
1425088373,1
