timestamp,value
1424983373,53
1424983673,64
1424983973,49
1424984273,48
1424984573,22
1424984873,23
1424985173,17
1424985473,35
1424985773,23
1424986073,39
1424986373,26
1424986673,33
1424986973,51
1424987273,41
1424987573,34
1424987873,38
1424988173,45
1424988473,42
1424988773,39
1424989073,40
1424989373,24
1424989673,36
1424989973,18
1424990273,25
1424990573,21
1424990873,13
1424991173,7
1424991473,18
1424991773,18
1424992073,28
1424992373,14
1424992673,25
1424992973,26
1424993273,15
1424993573,16
1424993873,20
1424994173,13
1424994473,19
1424994773,13
1424995073,17
1424995373,14
1424995673,24
1424995973,19
1424996273,8
1424996573,10
1424996873,9
1424997173,17
1424997473,9
1424997773,16
1424998073,17
1424998373,17
1424998673,22
1424998973,13
1424999273,13
1424999573,15
1424999873,7
1425000173,29
1425000473,62
1425000773,26
1425001073,28
1425001373,85
1425001673,70
1425001973,36
1425002273,39
1425002573,28
1425002873,40
1425003173,176
1425003473,205
1425003773,164
1425004073,116
1425004373,14
1425004673,23
1425004973,18
1425005273,17
1425005573,18
1425005873,19
1425006173,18
1425006473,21
1425006773,21
1425007073,15
1425007373,11
1425007673,22
1425007973,13
1425008273,5
1425008573,18
1425008873,16
1425009173,14
1425009473,19
1425009773,14
1425010073,7
1425010373,17
1425010673,10
1425010973,12
1425011273,23
1425011573,11
1425011873,16
1425012173,8
1425012473,14
1425012773,11
1425013073,9
1425013373,6
1425013673,12
1425013973,20
1425014273,5
1425014573,8
1425014873,11
1425015173,14
1425015473,8
1425015773,8
1425016073,13
1425016373,13
1425016673,12
1425016973,7
1425017273,17
1425017573,18
1425017873,16
1425018173,11
1425018473,10
1425018773,7
1425019073,11
1425019373,6
1425019673,12
1425019973,6
1425020273,13
1425020573,25
1425020873,12
1425021173,7
1425021473,13
1425021773,5
1425022073,8
1425022373,10
1425022673,8
1425022973,10
1425023273,7
1425023573,6
1425023873,17
1425024173,18
1425024473,8
1425024773,11
1425025073,10
1425025373,14
1425025673,11
1425025973,16
1425026273,10
1425026573,8
1425026873,9
1425027173,8
1425027473,14
1425027773,15
1425028073,9
1425028373,13
1425028673,22
1425028973,8
1425029273,11
1425029573,17
1425029873,7
1425030173,11
1425030473,10
1425030773,13
1425031073,14
1425031373,15
