timestamp,value
1424983373,35
1424983673,41
1424983973,32
1424984273,36
1424984573,32
1424984873,25
1424985173,33
1424985473,20
1424985773,38
1424986073,28
1424986373,28
1424986673,27
1424986973,30
1424987273,31
1424987573,38
1424987873,35
1424988173,33
1424988473,24
1424988773,28
1424989073,20
1424989373,35
1424989673,29
1424989973,24
1424990273,24
1424990573,33
1424990873,36
1424991173,18
1424991473,28
1424991773,20
1424992073,59
1424992373,41
1424992673,97
1424992973,61
1424993273,105
1424993573,52
1424993873,30
1424994173,23
1424994473,26
1424994773,43
1424995073,24
1424995373,41
1424995673,24
1424995973,33
1424996273,20
1424996573,21
1424996873,34
1424997173,39
1424997473,41
1424997773,48
1424998073,28
1424998373,32
1424998673,26
1424998973,18
1424999273,17
1424999573,25
1424999873,25
1425000173,32
1425000473,94
1425000773,39
1425001073,23
1425001373,73
1425001673,31
1425001973,30
1425002273,35
1425002573,23
1425002873,49
1425003173,187
1425003473,203
1425003773,175
1425004073,112
1425004373,22
1425004673,24
1425004973,12
1425005273,26
1425005573,16
1425005873,14
1425006173,19
1425006473,21
1425006773,18
1425007073,12
1425007373,25
1425007673,17
1425007973,21
1425008273,18
1425008573,22
1425008873,23
1425009173,26
1425009473,33
1425009773,26
1425010073,16
1425010373,15
1425010673,7
1425010973,14
1425011273,11
1425011573,31
1425011873,15
1425012173,15
1425012473,15
1425012773,25
1425013073,34
1425013373,20
1425013673,15
1425013973,16
1425014273,18
1425014573,6
1425014873,10
1425015173,20
1425015473,14
1425015773,11
1425016073,27
1425016373,7
1425016673,21
1425016973,16
1425017273,20
1425017573,11
1425017873,11
1425018173,21
1425018473,16
1425018773,16
1425019073,16
1425019373,18
1425019673,10
1425019973,13
1425020273,21
1425020573,18
1425020873,11
1425021173,17
1425021473,19
1425021773,8
1425022073,14
1425022373,18
1425022673,13
1425022973,16
1425023273,18
1425023573,8
1425023873,17
1425024173,28
1425024473,14
1425024773,14
1425025073,16
1425025373,9
1425025673,20
1425025973,17
1425026273,13
1425026573,22
1425026873,19
1425027173,19
1425027473,30
1425027773,12
1425028073,13
1425028373,13
1425028673,12
1425028973,13
1425029273,61
1425029573,12
1425029873,19
1425030173,34
1425030473,25
1425030773,19
1425031073,14
1425031373,17
1425031673,33
1425031973,19
1425032273,11
1425032573,9
1425032873,14
1425033173,22
1425033473,9
1425033773,21
1425034073,24
1425034373,10
1425034673,15
1425034973,19
1425035273,30
1425035573,36
1425035873,21
1425036173,24
1425036473,24
1425036773,21
1425037073,14
1425037373,22
1425037673,24
1425037973,20
1425038273,20
1425038573,20
