timestamp,value
1424983373,7
1424983673,4
1424983973,14
1424984273,6
1424984573,1
1424984873,9
1424985173,7
1424985473,11
1424985773,9
1424986073,14
1424986373,7
1424986673,6
1424986973,6
1424987273,11
1424987573,8
1424987873,13
1424988173,6
1424988473,6
1424988773,3
1424989073,6
1424989373,5
1424989673,4
1424989973,6
1424990273,5
1424990573,5
1424990873,4
1424991173,2
1424991473,4
1424991773,5
1424992073,5
1424992373,1
1424992673,6
1424992973,3
1424993273,6
1424993573,8
1424993873,3
1424994173,10
1424994473,7
1424994773,3
1424995073,6
1424995373,8
1424995673,11
1424995973,6
1424996273,1
1424996573,2
1424996873,6
1424997173,5
1424997473,5
1424997773,9
1424998073,6
1424998373,2
1424998673,4
1424998973,8
1424999273,8
1424999573,10
1424999873,2
1425000173,3
1425000473,2
1425000773,2
1425001073,9
1425001373,6
1425001673,5
1425001973,2
1425002273,8
1425002573,0
1425002873,9
1425003173,9
1425003473,1
1425003773,8
1425004073,2
1425004373,2
1425004673,2
1425004973,1
1425005273,3
1425005573,2
1425005873,4
1425006173,3
1425006473,1
1425006773,2
1425007073,1
1425007373,1
1425007673,3
1425007973,2
1425008273,1
1425008573,2
1425008873,3
1425009173,4
1425009473,60
1425009773,0
1425010073,2
1425010373,1
1425010673,1
1425010973,1
1425011273,0
1425011573,6
1425011873,4
1425012173,2
1425012473,1
1425012773,2
1425013073,3
1425013373,1
1425013673,5
1425013973,2
1425014273,2
1425014573,7
1425014873,0
1425015173,0
1425015473,1
1425015773,1
1425016073,1
1425016373,1
1425016673,0
1425016973,1
1425017273,2
1425017573,0
1425017873,1
1425018173,3
1425018473,0
1425018773,0
1425019073,1
1425019373,2
1425019673,2
1425019973,1
1425020273,1
1425020573,5
1425020873,3
1425021173,3
1425021473,4
1425021773,2
1425022073,1
1425022373,2
1425022673,2
1425022973,3
1425023273,2
1425023573,4
1425023873,4
1425024173,0
1425024473,1
1425024773,1
1425025073,1
1425025373,2
1425025673,2
1425025973,3
1425026273,4
1425026573,0
1425026873,4
1425027173,1
1425027473,1
1425027773,5
1425028073,5
1425028373,7
1425028673,6
1425028973,2
1425029273,13
1425029573,2
1425029873,2
1425030173,0
1425030473,1
1425030773,0
1425031073,8
1425031373,2
1425031673,3
1425031973,1
1425032273,1
1425032573,2
1425032873,0
1425033173,4
1425033473,6
1425033773,5
1425034073,7
1425034373,2
1425034673,2
1425034973,6
1425035273,3
1425035573,4
1425035873,3
1425036173,5
1425036473,5
1425036773,4
1425037073,1
1425037373,0
1425037673,2
1425037973,3
1425038273,8
1425038573,3
1425038873,9
1425039173,3
1425039473,6
1425039773,6
1425040073,1
1425040373,1
1425040673,5
1425040973,6
1425041273,6
1425041573,4
1425041873,4
1425042173,7
1425042473,4
1425042773,9
1425043073,7
1425043373,2
1425043673,7
1425043973,7
1425044273,4
1425044573,7
1425044873,0
1425045173,4
1425045473,4
1425045773,10
1425046073,5
1425046373,5
1425046673,4
1425046973,6
1425047273,2
1425047573,9
1425047873,1
1425048173,3
1425048473,8
1425048773,9
1425049073,6
1425049373,8
1425049673,4
1425049973,3
1425050273,2
1425050573,3
1425050873,10
1425051173,3
1425051473,2
1425051773,2
1425052073,8
1425052373,7
1425052673,10
1425052973,4
1425053273,1
1425053573,4
1425053873,4
1425054173,6
1425054473,13
1425054773,6
1425055073,4
1425055373,4
1425055673,8
1425055973,6
1425056273,7
1425056573,1
1425056873,5
1425057173,10
1425057473,12
1425057773,5
1425058073,9
1425058373,16
1425058673,9
1425058973,5
1425059273,12
1425059573,5
1425059873,11
1425060173,6
1425060473,8
1425060773,4
1425061073,4
1425061373,5
1425061673,4
1425061973,1
1425062273,14
1425062573,12
1425062873,9
1425063173,5
1425063473,7
1425063773,5
1425064073,6
1425064373,11
1425064673,4
1425064973,4
1425065273,4
1425065573,0
1425065873,8
1425066173,4
1425066473,5
1425066773,2
1425067073,11
1425067373,5
1425067673,2
1425067973,3
1425068273,3
1425068573,2
1425068873,6
1425069173,8
1425069473,12
1425069773,15
1425070073,7
1425070373,7
1425070673,4
1425070973,3
1425071273,5
1425071573,6
1425071873,7
1425072173,5
1425072473,5
1425072773,2
1425073073,7
1425073373,4
1425073673,4
1425073973,5
1425074273,4
1425074573,0
1425074873,2
1425075173,1
1425075473,5
1425075773,6
1425076073,4
1425076373,6
1425076673,4
1425076973,4
1425077273,3
1425077573,9
1425077873,8
1425078173,1
1425078473,4
1425078773,1
1425079073,4
1425079373,6
1425079673,2
1425079973,4
1425080273,1
1425080573,2
1425080873,3
1425081173,8
1425081473,1
1425081773,1
1425082073,2
1425082373,1
1425082673,5
1425082973,5
1425083273,4
1425083573,4
1425083873,2
1425084173,1
1425084473,9
1425084773,4
1425085073,3
1425085373,1
1425085673,1
1425085973,0
1425086273,1
1425086573,3
1425086873,2
1425087173,2
1425087473,3
1425087773,0
1425088073,6
1425088373,0
1425088673,2
1425088973,1
1425089273,2
1425089573,2
1425089873,3
1425090173,3
1425090473,8
1425090773,9
1425091073,8
1425091373,2
1425091673,8
1425091973,4
1425092273,2
1425092573,2
1425092873,1
1425093173,1
1425093473,1
1425093773,3
1425094073,5
1425094373,2
1425094673,0
1425094973,2
1425095273,3
1425095573,2
1425095873,4
