timestamp,value
1424983373,8
1424983673,8
1424983973,5
1424984273,13
1424984573,22
1424984873,17
1424985173,12
1424985473,7
1424985773,10
1424986073,13
1424986373,6
1424986673,10
1424986973,17
1424987273,8
1424987573,7
1424987873,11
1424988173,11
1424988473,10
1424988773,6
1424989073,7
1424989373,16
1424989673,5
1424989973,11
1424990273,9
1424990573,22
1424990873,4
1424991173,14
1424991473,21
1424991773,9
1424992073,9
1424992373,6
1424992673,7
1424992973,7
1424993273,6
1424993573,15
1424993873,10
1424994173,7
1424994473,6
1424994773,9
1424995073,8
1424995373,13
1424995673,7
1424995973,5
1424996273,7
1424996573,16
1424996873,7
1424997173,12
1424997473,10
1424997773,7
1424998073,9
1424998373,11
1424998673,26
1424998973,13
1424999273,7
1424999573,9
1424999873,10
1425000173,14
1425000473,22
1425000773,6
1425001073,8
1425001373,6
1425001673,14
1425001973,26
1425002273,5
1425002573,4
1425002873,19
1425003173,18
1425003473,14
1425003773,15
1425004073,31
1425004373,12
1425004673,8
1425004973,12
1425005273,10
1425005573,8
1425005873,14
1425006173,10
1425006473,9
1425006773,6
1425007073,9
1425007373,14
1425007673,8
1425007973,10
1425008273,10
1425008573,8
1425008873,8
1425009173,8
1425009473,5
1425009773,10
1425010073,4
1425010373,24
1425010673,54
1425010973,82
1425011273,25
1425011573,19
1425011873,26
1425012173,7
1425012473,11
1425012773,8
1425013073,18
1425013373,8
1425013673,7
1425013973,12
1425014273,8
1425014573,8
1425014873,9
1425015173,4
1425015473,6
1425015773,7
1425016073,5
1425016373,11
1425016673,4
1425016973,10
1425017273,6
1425017573,5
1425017873,2
1425018173,10
1425018473,9
1425018773,6
1425019073,3
1425019373,3
1425019673,2
1425019973,4
1425020273,6
1425020573,6
1425020873,5
1425021173,12
1425021473,7
1425021773,6
1425022073,6
1425022373,7
1425022673,4
1425022973,3
1425023273,3
1425023573,4
1425023873,13
1425024173,8
1425024473,5
1425024773,9
1425025073,10
1425025373,7
1425025673,3
1425025973,5
1425026273,6
1425026573,4
1425026873,3
1425027173,5
1425027473,7
1425027773,6
1425028073,7
1425028373,2
1425028673,15
1425028973,12
1425029273,6
1425029573,5
1425029873,4
1425030173,7
1425030473,6
1425030773,3
1425031073,9
1425031373,7
1425031673,10
1425031973,6
1425032273,8
1425032573,8
1425032873,15
1425033173,9
1425033473,6
1425033773,10
1425034073,11
1425034373,10
1425034673,3
1425034973,6
1425035273,10
1425035573,10
1425035873,6
1425036173,4
1425036473,11
1425036773,5
1425037073,5
1425037373,6
1425037673,7
1425037973,9
1425038273,6
1425038573,7
1425038873,9
1425039173,10
1425039473,14
1425039773,11
1425040073,15
1425040373,21
1425040673,15
1425040973,5
1425041273,14
1425041573,19
1425041873,14
1425042173,7
1425042473,7
1425042773,8
1425043073,9
1425043373,15
1425043673,19
1425043973,11
1425044273,11
1425044573,18
1425044873,9
1425045173,6
1425045473,7
1425045773,14
1425046073,5
1425046373,6
1425046673,12
1425046973,17
1425047273,14
1425047573,20
1425047873,9
1425048173,20
1425048473,15
1425048773,3
1425049073,11
1425049373,10
1425049673,20
1425049973,15
1425050273,10
1425050573,19
1425050873,15
1425051173,17
1425051473,8
1425051773,9
1425052073,15
1425052373,18
1425052673,19
1425052973,18
1425053273,13
1425053573,6
1425053873,9
1425054173,8
1425054473,14
1425054773,10
1425055073,14
1425055373,10
1425055673,15
1425055973,9
1425056273,22
1425056573,22
1425056873,16
1425057173,7
1425057473,13
1425057773,16
1425058073,14
1425058373,20
1425058673,9
1425058973,14
1425059273,14
1425059573,20
1425059873,14
1425060173,20
1425060473,17
1425060773,20
1425061073,24
1425061373,8
1425061673,16
1425061973,7
1425062273,11
1425062573,7
1425062873,10
1425063173,6
1425063473,9
1425063773,9
1425064073,10
1425064373,6
1425064673,10
1425064973,21
1425065273,11
1425065573,12
1425065873,9
1425066173,17
1425066473,15
1425066773,4
1425067073,16
1425067373,11
1425067673,6
1425067973,15
1425068273,6
1425068573,8
1425068873,10
1425069173,7
1425069473,11
1425069773,13
1425070073,14
1425070373,6
1425070673,7
1425070973,8
1425071273,6
1425071573,2
1425071873,8
1425072173,7
1425072473,11
1425072773,18
1425073073,13
1425073373,9
1425073673,11
1425073973,11
1425074273,50
1425074573,11
1425074873,8
1425075173,9
1425075473,8
1425075773,12
1425076073,13
1425076373,5
1425076673,9
1425076973,4
1425077273,1
1425077573,12
1425077873,15
1425078173,8
1425078473,16
1425078773,11
1425079073,10
1425079373,11
1425079673,6
1425079973,4
1425080273,7
1425080573,8
1425080873,9
1425081173,8
1425081473,12
1425081773,5
1425082073,5
1425082373,4
1425082673,2
1425082973,8
1425083273,4
1425083573,4
1425083873,8
1425084173,3
1425084473,10
1425084773,12
1425085073,10
1425085373,3
1425085673,6
1425085973,4
1425086273,3
1425086573,3
1425086873,3
1425087173,7
1425087473,4
1425087773,8
1425088073,2
1425088373,2
1425088673,2
1425088973,10
1425089273,12
1425089573,7
1425089873,4
1425090173,2
1425090473,7
1425090773,7
1425091073,8
1425091373,9
1425091673,7
1425091973,6
1425092273,3
1425092573,0
1425092873,11
1425093173,3
1425093473,10
1425093773,4
1425094073,2
1425094373,6
1425094673,3
1425094973,3
1425095273,3
1425095573,11
1425095873,9
1425096173,2
1425096473,1
1425096773,4
1425097073,3
1425097373,3
1425097673,2
1425097973,2
1425098273,3
1425098573,5
1425098873,3
1425099173,2
1425099473,4
1425099773,2
1425100073,2
1425100373,4
1425100673,2
1425100973,3
1425101273,5
1425101573,2
1425101873,1
1425102173,1
1425102473,2
1425102773,7
1425103073,1
1425103373,1
1425103673,0
1425103973,1
1425104273,4
1425104573,6
1425104873,2
1425105173,3
1425105473,2
1425105773,1
1425106073,0
1425106373,3
1425106673,4
1425106973,3
1425107273,9
1425107573,10
1425107873,8
1425108173,4
1425108473,2
1425108773,5
1425109073,4
1425109373,4
1425109673,7
1425109973,4
1425110273,5
1425110573,2
1425110873,5
1425111173,7
1425111473,5
1425111773,1
1425112073,3
1425112373,2
1425112673,2
1425112973,5
1425113273,4
1425113573,1
1425113873,9
1425114173,3
1425114473,2
1425114773,6
1425115073,2
1425115373,9
1425115673,6
1425115973,8
1425116273,8
1425116573,6
1425116873,11
1425117173,8
1425117473,8
1425117773,1
1425118073,1
1425118373,7
1425118673,6
1425118973,3
1425119273,3
1425119573,3
1425119873,1
1425120173,1
1425120473,3
1425120773,2
1425121073,4
1425121373,3
1425121673,4
1425121973,1
1425122273,3
1425122573,6
1425122873,5
1425123173,4
1425123473,7
1425123773,3
1425124073,4
1425124373,4
1425124673,4
1425124973,6
1425125273,10
1425125573,8
1425125873,5
1425126173,7
1425126473,4
1425126773,4
1425127073,4
1425127373,9
1425127673,12
1425127973,14
1425128273,9
1425128573,8
1425128873,8
1425129173,8
1425129473,3
1425129773,9
1425130073,8
1425130373,1
1425130673,4
1425130973,6
1425131273,7
1425131573,8
1425131873,9
1425132173,9
1425132473,1
1425132773,5
1425133073,8
1425133373,4
1425133673,15
1425133973,13
1425134273,10
1425134573,13
1425134873,15
1425135173,8
1425135473,8
1425135773,14
1425136073,9
1425136373,6
1425136673,6
1425136973,6
1425137273,11
1425137573,122
1425137873,79
1425138173,7
1425138473,3
1425138773,9
1425139073,6
1425139373,5
1425139673,1
1425139973,7
1425140273,10
1425140573,14
1425140873,8
1425141173,10
1425141473,6
1425141773,6
1425142073,5
1425142373,0
1425142673,4
1425142973,8
1425143273,7
1425143573,6
1425143873,8
1425144173,6
1425144473,5
1425144773,15
1425145073,15
1425145373,8
1425145673,9
1425145973,2
1425146273,3
1425146573,3
1425146873,14
1425147173,9
1425147473,6
1425147773,3
1425148073,5
1425148373,6
1425148673,3
1425148973,3
1425149273,7
1425149573,7
1425149873,10
1425150173,7
1425150473,7
1425150773,4
1425151073,9
1425151373,14
1425151673,6
1425151973,4
1425152273,3
1425152573,7
