timestamp,value
1441107900,3.06
1441108200,6.44
1441108500,5.17
1441108800,3.83
1441109100,4.5
1441110000,2.94
1441110300,2.28
1441110900,1.67
1441111200,18.83
1441111500,12.0
1441111800,13.11
1441112100,12.72
1441113600,1.67
1441120500,12.78
1441121100,7.5
1441121400,1.94
1441121700,3.72
1441122300,2.72
1441122900,3.83
1441123800,3.83
1441125900,1.83
1441126200,2.56
1441126800,2.28
1441127100,2.28
1441127400,7.89
1441128000,2.28
1441128300,2.06
1441128600,1.17
1441129200,1.17
1441130100,1.56
1441130400,3.61
1441130700,2.72
1441131000,1.17
1441131600,3.44
1441131900,3.5
1441132200,4.5
1441133100,1.44
1441133700,5.44
1441134300,1.67
1441135500,5.17
1441136400,2.06
1441139400,2.56
1441139700,2.94
1441140000,1.44
1441140300,2.94
1441141260,1.83
1441141500,1.94
1441141800,2.17
1441142400,1.0
1441143600,0.89
1441144800,1.39
1441145100,0.28
1441145700,0.39
1441146000,1.0
1441146900,1.0
1441148400,0.5
1441150500,0.22
1441152600,5.0
1441153500,0.5
1441154400,0.0
1441155900,0.5
1441156200,0.0
1441157700,1.67
1441160100,2.17
1441160400,0.5
1441160700,1.44
1441161000,1.39
1441161300,3.5
1441161900,2.56
1441162200,2.56
1441162800,6.06
1441163100,2.06
1441163700,4.39
1441164000,5.44
1441164300,12.39
1441164600,5.83
1441164900,4.5
1441165500,9.28
1441165800,5.39
1441166100,9.17
1441166400,7.5
1441166700,10.33
1441167000,10.44
1441167300,10.94
1441167600,8.89
1441167900,15.61
1441168200,11.89
1441168500,17.0
1441168800,7.83
1441169100,11.11
1441169400,14.33
1441169700,10.83
1441170000,8.11
1441170300,14.83
1441170600,13.67
1441170900,16.5
1441171200,12.28
1441171500,11.06
1441171800,7.61
1441172100,11.44
1441172400,6.33
1441172700,13.89
1441173000,9.44
1441173300,2.72
1441173600,6.17
1441173900,11.83
1441174200,8.5
1441174500,6.06
1441174800,7.5
1441175400,9.78
1441175700,11.89
1441176300,9.28
1441176600,6.44
1441176900,4.28
1441177200,6.83
1441177500,8.0
1441177800,9.0
1441178400,1.06
1441179000,4.11
1441179300,8.11
1441179600,5.06
1441180200,4.61
1441180500,1.0
1441180800,1.39
1441181400,4.22
1441181700,3.33
1441182000,4.67
1441182300,3.33
1441182600,2.94
1441182900,3.83
1441183200,1.78
1441183500,3.89
1441183800,3.5
1441184400,6.67
1441185300,2.28
1441185600,5.39
1441185900,4.11
1441186200,2.17
1441186500,3.33
1441188000,1.28
1441188300,2.28
1441188600,4.28
1441188900,7.06
1441189500,4.67
1441190100,4.5
1441190400,4.89
1441190700,7.11
1441191000,2.33
1441191300,3.06
1441191900,1.56
1441192200,3.33
1441192500,4.22
1441192800,7.89
1441193100,4.28
1441193400,3.22
1441193700,5.06
1441194000,1.0
1441194300,4.89
1441194600,2.17
1441194900,6.28
1441195500,1.0
1441196100,6.28
1441196400,6.72
1441196700,5.94
1441197000,4.39
1441197300,5.06
1441198200,5.83
1441198500,3.72
1441199100,3.33
1441199400,4.67
1441199700,4.61
1441200000,4.28
1441200300,2.44
1441200600,3.11
1441200900,3.11
1441201200,2.83
1441201500,6.17
1441201800,5.0
1441202700,1.44
1441203300,2.17
1441203600,3.44
1441203900,6.83
1441204200,7.89
1441205400,9.39
1441205700,7.33
1441206000,5.44
1441206600,8.5
1441207200,7.83
1441208100,4.0
1441208700,4.78
1441209900,2.72
1441210200,5.39
1441210500,2.56
1441210800,3.83
1441211400,4.67
1441211700,4.61
1441212300,0.78
1441212600,1.56
1441213200,4.0
1441213500,4.11
1441213800,4.39
1441214100,2.67
1441214460,4.67
1441214760,4.22
1441215960,4.89
1441216560,1.17
1441217460,2.33
1441219560,4.89
1441220160,3.89
1441220400,4.61
1441221360,3.72
1441221660,3.5
1441222260,1.17
1441222560,2.67
1441223160,4.67
1441223460,2.28
1441224660,1.28
1441225260,3.44
1441225860,2.67
1441226160,2.56
1441226460,0.78
1441227060,1.56
1441230660,2.94
1441231260,1.83
1441231860,0.0
1441232460,2.33
1441233360,1.06
1441233660,0.22
1441234260,0.28
1441236060,1.0
1441236360,1.28
1441237860,1.44
1441238160,0.5
1441238460,0.61
1441239060,0.28
1441239360,1.78
1441239660,0.28
1441242660,1.94
1441243260,1.0
1441243560,1.17
1441244760,1.94
1441245060,2.44
1441245960,0.22
1441246260,1.67
1441246560,1.83
1441247760,0.39
1441248960,1.56
1441249260,4.78
1441249560,1.17
1441249860,10.94
1441250460,1.56
1441250760,3.89
1441251060,5.39
1441251360,4.11
1441251660,3.61
1441251960,2.56
1441252260,7.44
1441252560,9.94
1441252860,4.61
1441253160,12.28
1441253460,10.56
1441253760,21.17
1441254060,15.33
1441254360,12.11
1441254960,11.33
1441255260,13.94
1441255560,14.78
1441255860,11.44
1441256160,13.89
1441256460,9.39
1441256760,12.0
1441257060,17.89
1441257360,11.89
1441257660,10.17
1441257960,11.11
1441258260,21.11
1441258560,9.28
1441258860,5.28
