timestamp,value
1441099800,13.56
1441100100,8.33
1441100400,11.78
1441101300,15.28
1441101600,10.06
1441101900,7.44
1441102200,8.11
1441102500,10.72
1441102800,11.83
1441103100,9.61
1441103400,10.22
1441103700,10.72
1441104300,10.28
1441104600,13.72
1441104900,7.39
1441105500,2.61
1441105800,7.33
1441106100,8.5
1441106400,10.56
1441106700,13.78
1441107300,7.78
1441107900,7.72
1441108200,10.11
1441108800,9.56
1441109100,14.94
1441109400,25.89
1441109700,10.17
1441110600,6.39
1441110900,12.89
1441111200,9.06
1441111800,11.67
1441112100,7.94
1441112400,8.17
1441112700,24.72
1441113000,9.06
1441113900,14.89
1441114200,8.28
1441114500,7.83
1441114800,12.28
1441115100,14.94
1441115700,14.39
1441116000,7.5
1441116300,11.5
1441116600,10.0
1441116900,8.83
1441117200,11.33
1441117500,11.17
1441117800,9.83
1441118400,7.67
1441118700,14.89
1441119300,7.28
1441119900,11.83
1441120200,13.72
1441120500,21.33
1441120800,21.61
1441121100,14.61
1441121700,15.28
1441122000,10.33
1441122300,7.61
1441122600,8.89
1441122900,10.72
1441123140,9.06
1441123800,14.0
1441124100,14.56
1441124400,8.06
1441124700,4.89
1441125000,7.72
1441125300,9.11
1441125900,6.89
1441126200,9.11
1441128000,8.33
1441128300,5.33
1441128900,6.11
1441129800,4.06
1441130400,7.06
1441131300,5.83
1441132500,8.67
1441132800,5.94
1441133400,3.39
1441133700,5.5
1441134000,9.11
1441134300,12.83
1441134600,6.11
1441134900,5.67
1441135200,6.17
1441135500,2.44
1441135800,4.0
1441136100,6.72
1441137540,1.44
1441138200,9.0
1441138800,1.06
1441139100,6.61
1441140000,4.61
1441140300,3.28
1441140600,1.83
1441141260,3.17
1441141500,5.17
1441141800,2.56
1441142100,4.17
1441143900,0.67
1441145100,0.61
1441145400,2.72
1441146600,2.39
1441149900,5.67
1441150500,0.83
1441153800,1.61
1441154400,4.39
1441155000,3.67
1441155900,1.89
1441156200,0.83
1441158000,1.72
1441158600,4.44
1441158900,5.5
1441159500,4.17
1441160400,2.22
1441160700,10.11
1441161600,1.72
1441161900,1.39
1441162200,6.11
1441162500,7.94
1441162800,5.67
1441163400,5.67
1441163700,4.44
1441164000,6.06
1441164600,2.17
1441164900,5.61
1441165500,6.44
1441165800,8.0
1441166100,10.33
1441166400,14.28
1441166700,14.06
1441167000,11.61
1441167600,12.94
1441167900,12.39
1441168200,16.78
1441168800,8.67
1441169100,21.72
1441169400,10.67
1441169700,12.28
1441170000,16.17
1441170300,25.61
1441170600,25.78
1441170900,9.44
1441171200,8.83
1441171500,11.72
1441171800,12.17
1441172100,14.33
1441172400,12.11
1441172700,13.67
1441173000,9.17
1441173300,15.06
1441173600,19.56
1441173900,18.0
1441174200,14.17
1441174500,8.33
1441174800,15.72
1441175100,12.83
1441175400,21.22
1441175700,17.39
1441176000,16.11
1441176300,18.83
1441176600,16.89
1441176900,18.61
1441177200,12.78
1441177500,13.33
1441177800,20.17
1441178100,21.56
1441178700,11.78
1441179000,12.78
1441179300,12.17
1441179600,7.78
1441180500,6.56
1441180800,13.06
1441181100,15.06
1441181400,11.72
1441181700,6.5
1441182000,12.72
1441182300,9.56
1441182600,13.78
1441182900,12.33
1441183200,9.22
1441183500,10.39
1441183800,5.06
1441184100,5.72
1441184400,10.56
1441185000,12.72
1441185300,18.33
1441185900,8.78
1441186200,9.61
1441186800,13.33
1441187100,7.0
1441187400,9.61
1441187700,11.78
1441188000,3.06
1441188300,13.33
1441188900,14.28
1441189200,14.33
1441189500,6.89
1441189800,11.22
1441190100,8.17
1441190400,8.28
1441191000,15.11
1441191300,13.06
1441191600,12.39
1441191900,13.28
1441192200,6.06
1441192500,17.61
1441192800,13.22
1441193100,10.11
1441193400,8.83
1441193700,12.89
1441194000,4.61
